,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2,57,IND,T.J. Green\GreeT.00,S,21,2017,0,0,0,4,4,31,0,0,0,0,0,0,0,0,0,0,0,61,,,Clemson,College Stats
2,58,PIT,Sean Davis\DaviSe00,CB,22,2018,0,0,2,10,10,42,0,0,0,0,0,0,0,0,0,0,0,163,4,2.5,Maryland,College Stats
2,59,TAM,Roberto Aguayo\AguaRo00,K,22,2016,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,College Stats
2,60,NWE,Cyrus Jones\JoneCy00,CB,22,2018,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,5,,,Alabama,College Stats
2,61,NOR,Vonn Bell\BellVo00,S,21,2018,0,0,0,8,8,42,0,0,0,0,0,0,0,0,0,0,0,149,,5.5,Ohio St.,College Stats
2,62,CAR,James Bradberry\BradJa00,CB,23,2018,0,0,3,12,12,39,0,0,0,0,0,0,0,0,0,0,0,154,4,1.0,Samford,College Stats
2,63,DEN,Adam Gotsis\GotsAd00,DT,23,2018,0,0,2,8,8,42,0,0,0,0,0,0,0,0,0,0,0,46,,3.0,Georgia Tech,College Stats
3,64,TEN,Kevin Byard\ByarKe01,S,23,2018,1,1,2,16,16,42,1,1,66,1,0,0,0,0,0,0,0,142,10,1.0,Middle Tenn. St.,College Stats
3,65,CLE,Carl Nassib\NassCa00,DE,23,2018,0,0,1,7,7,40,0,0,0,0,0,0,0,0,0,0,0,47,,10.0,Penn St.,College Stats
3,66,SDG,Max Tuerk\TuerMa00,C,22,2017,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,USC,College Stats
3,67,DAL,Maliek Collins\CollMa00,DT,21,2018,0,0,2,14,14,39,0,0,0,0,0,0,0,0,0,0,0,34,,9.5,Nebraska,College Stats
3,68,SFO,Will Redmond\RedmWi00,CB,22,2018,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,College Stats
3,69,JAX,Yannick Ngakoue\NgakYa00,DE,21,2018,0,1,3,19,19,42,0,0,0,0,0,0,0,0,0,0,0,57,1,26.0,Maryland,College Stats
3,70,BAL,Bronson Kaufusi\KaufBr01,DE,25,2017,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,,,BYU,College Stats
3,71,NYG,Darian Thompson\ThomDa05,S,22,2018,0,0,1,5,5,22,0,0,0,0,0,0,0,0,0,0,0,67,1,,Boise St.,College Stats
3,72,CHI,Jonathan Bullard\BullJo00,DT,22,2018,0,0,0,5,5,40,0,0,0,0,0,0,0,0,0,0,0,44,,2.0,Florida,College Stats
3,73,MIA,Kenyan Drake\DrakKe00,RB,22,2018,0,0,1,8,8,42,0,0,0,0,0,247,1199,8,74,519,3,,,,Alabama,College Stats
3,74,KAN,KeiVarae Russell\RussKe00,CB,22,2018,0,0,0,1,,16,0,0,0,0,0,0,0,0,0,0,0,8,1,,Notre Dame,College Stats
3,75,OAK,Shilique Calhoun\CalhSh00,DE,24,2018,0,0,0,2,2,24,0,0,0,0,0,0,0,0,0,0,0,12,,0.5,Michigan St.,College Stats
3,76,CLE,Shon Coleman\ColeSh00,T,24,2017,0,0,1,6,6,23,0,0,0,0,0,0,0,0,0,0,0,,,,Auburn,College Stats
3,77,CAR,Daryl Worley\WorlDa00,CB,21,2018,0,0,3,11,11,37,0,0,0,0,0,0,0,0,0,0,0,133,4,2.0,West Virginia,College Stats
3,78,NWE,Joe Thuney\ThunJo00,G,23,2018,0,0,3,18,18,42,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina St.,College Stats
3,79,PHI,Isaac Seumalo\SeumIs00,G,22,2018,0,0,1,4,4,33,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon St.,College Stats
3,80,BUF,Adolphus Washington\WashAd00,DT,21,2018,0,0,1,9,9,35,0,0,0,0,0,0,0,0,0,0,0,38,,4.5,Ohio St.,College Stats
3,81,ATL,Austin Hooper\HoopAu00,TE,21,2018,0,0,1,8,8,40,0,0,0,0,0,0,0,0,118,1242,9,,,,Stanford,College Stats
3,82,IND,Le'Raven Clark\ClarLe01,T,23,2018,0,0,0,5,5,32,0,0,0,0,0,0,0,0,0,0,0,,,,Texas Tech,College Stats
3,83,NYJ,Jordan Jenkins\JenkJo01,OLB,22,2018,0,0,3,12,12,40,0,0,0,0,0,0,0,0,0,0,0,66,,10.5,Georgia,College Stats
3,84,WAS,Kendall Fuller\FullKe00,CB,21,2018,0,0,0,6,6,40,0,0,0,0,0,0,0,0,0,0,0,116,5,,Virginia Tech,College Stats
3,85,HOU,Braxton Miller\MillBr03,WR,23,2017,0,0,0,2,2,21,0,0,0,0,0,4,1,0,34,261,2,,,,Ohio St.,College Stats
3,86,MIA,Leonte Carroo\CarrLe00,WR,22,2018,0,0,0,1,1,31,0,0,0,0,0,1,14,0,11,118,1,,,,Rutgers,College Stats
3,87,CIN,Nick Vigil\VigiNi00,ILB,23,2018,0,0,2,6,6,33,0,0,0,0,0,0,0,0,0,0,0,95,1,1.0,Utah St.,College Stats
